id,group,verbal_wm,visual_wm,updating,inhibition,proc_speed,education,cog_reserve,task_perf,everyday_func
34,1,0.327,-0.702,-0.651,0.205,0.693,12,1.693,50.94,83.78
35,1,0.870,0.528,0.627,1.121,1.321,14,1.022,56.86,83.70
36,1,-1.170,-1.362,-1.177,-1.163,-0.958,13,0.694,50.24,68.39
37,1,-0.040,-0.213,0.307,0.019,-0.062,14,-0.712,44.82,77.93
38,1,-0.393,-0.115,-0.495,-0.171,-0.754,17,1.325,47.13,55.41
39,1,-0.272,-0.125,0.479,-0.601,1.109,17,0.541,52.91,80.78
40,1,1.456,1.026,0.893,0.005,0.803,15,0.822,53.03,83.59
41,1,0.938,1.659,1.218,0.811,0.807,13,1.196,61.33,85.18
42,1,0.865,0.930,0.722,0.799,1.667,17,0.423,54.49,91.06
43,1,-0.591,0.880,0.483,0.140,-0.219,20,0.423,42.83,59.26
44,1,-1.667,0.321,-1.587,-0.845,0.147,17,-0.513,44.04,58.17
45,1,0.288,1.657,0.931,0.200,1.218,13,1.465,63.37,91.93
46,1,-0.190,0.096,0.002,-0.383,-0.969,17,-0.938,57.32,84.75
47,1,-0.431,0.337,-0.228,0.023,0.561,12,-0.217,63.74,82.04
48,1,0.371,0.176,-0.273,-0.085,-0.200,18,-1.386,43.98,82.80
49,1,-0.324,-0.072,-0.468,-0.191,-0.107,16,-0.849,53.94,75.03
50,1,0.304,-0.380,-0.765,0.112,-0.172,14,1.849,63.15,73.87
51,1,0.070,0.612,-0.412,-0.356,-0.162,17,0.022,52.56,79.41
52,1,-1.498,-1.877,-0.776,-0.827,0.419,17,0.618,29.43,78.93
53,1,1.396,0.650,0.548,0.544,1.155,15,-0.556,62.44,78.80
54,1,1.131,1.273,0.910,1.387,1.365,17,0.205,69.87,64.02
55,1,0.208,-0.805,-0.773,0.004,-0.493,18,0.588,43.06,70.21
56,1,1.333,0.840,1.153,0.886,1.058,15,1.986,59.29,91.87
57,1,0.094,0.584,0.393,0.165,-0.109,17,-0.724,65.74,72.42
58,1,0.490,-0.655,-0.416,0.099,-0.131,18,0.720,45.49,79.89
59,1,-1.359,-1.439,-1.505,-0.679,-1.687,20,0.654,38.98,55.31
60,1,-0.652,-0.883,-2.331,-0.707,-0.830,19,1.720,29.22,63.87
61,1,-0.389,-0.009,-0.868,0.121,-0.327,19,0.045,40.95,66.76
62,1,-0.671,-0.833,-1.164,-0.807,-1.050,19,0.849,35.02,71.79
63,1,-0.081,0.146,0.375,0.236,0.204,13,0.583,39.39,65.71
64,1,-0.618,-0.412,-1.742,-0.782,-0.045,17,0.756,39.43,67.64
65,1,-0.684,0.747,0.090,0.135,-0.448,18,-0.374,40.89,76.25
66,1,0.924,0.423,0.517,-0.084,0.645,14,-0.847,54.82,95.51
67,1,1.140,1.050,1.292,2.135,1.149,17,-0.005,70.33,100.44
68,1,-0.474,0.012,0.466,-0.104,0.013,14,-0.352,46.35,62.02
69,1,-0.989,-1.276,-0.926,-1.424,-0.851,16,0.395,47.68,58.36
70,1,0.369,-0.020,-0.361,0.127,0.013,15,0.881,51.17,77.78
71,1,0.234,0.876,-1.365,0.038,-0.028,15,1.527,57.54,76.63
72,1,0.504,0.371,-0.376,0.738,-0.196,19,1.220,37.11,67.44
73,1,-1.093,-0.329,-0.879,-1.094,-1.045,13,0.726,36.14,83.88
74,1,0.919,1.333,0.701,0.276,1.423,17,-0.421,64.44,89.30
75,1,0.197,0.030,0.966,-0.691,-0.513,18,1.334,48.61,67.36
76,1,0.081,-0.015,-0.271,0.339,-0.322,17,0.412,33.65,80.84
77,1,1.216,0.667,1.034,0.405,1.138,15,1.279,73.56,88.14
78,1,0.188,-0.154,-0.076,0.053,0.380,20,0.515,57.09,71.39
79,1,0.535,0.354,-0.151,0.353,1.042,16,0.225,42.58,90.61
80,1,0.967,0.890,0.794,1.705,1.708,16,0.200,56.59,74.42
81,1,1.167,1.007,0.981,0.552,1.782,15,0.128,72.09,85.44
82,1,-2.193,-0.740,-0.055,-0.779,-1.485,17,-0.469,30.61,75.89
83,1,1.140,0.585,0.909,0.312,0.201,18,1.122,54.55,92.61
84,1,-0.264,1.039,0.739,0.235,0.527,17,1.068,51.53,78.36
85,1,0.543,-0.377,0.121,0.458,0.249,16,-0.242,51.50,66.13
86,1,-0.653,-0.034,0.261,0.309,-0.033,12,1.274,44.24,92.02
87,1,-0.056,0.494,-0.198,0.276,0.019,19,-0.337,58.21,70.73
88,1,-0.336,-2.038,-0.282,-1.092,-0.056,16,0.052,37.45,79.34
89,1,-1.832,-0.470,-1.794,-0.402,-0.882,12,-0.671,47.44,61.99
90,1,1.185,1.663,0.597,0.633,1.179,19,0.600,78.53,88.17
91,1,0.031,-0.219,-0.327,0.554,0.819,13,0.628,44.32,80.88
92,1,-0.433,-0.457,0.278,0.592,-0.008,19,1.104,47.07,88.66
93,1,1.266,0.545,1.343,0.812,0.270,20,-0.475,70.66,74.99
94,1,-0.141,-0.667,-0.524,0.265,0.334,15,-1.045,31.26,61.38
95,1,0.444,0.365,0.475,1.583,1.139,16,-0.250,44.03,77.08
96,1,-0.040,0.041,-0.941,0.660,-0.087,20,1.952,48.99,66.13
97,1,1.160,1.459,0.530,0.779,1.583,18,0.265,48.15,78.86
98,1,-1.142,-1.415,-1.220,-1.023,0.595,13,-1.740,29.41,75.61
99,1,-0.604,-0.640,-1.186,-1.159,-0.857,19,-0.041,41.97,61.21
100,1,0.671,1.175,0.213,1.765,1.275,16,0.521,59.64,91.17
101,1,-1.393,0.056,-0.788,-1.800,-0.553,16,1.220,40.22,70.81
102,1,0.877,0.592,0.763,0.624,0.907,15,1.445,43.53,69.02
103,1,1.121,0.914,0.374,0.874,0.828,14,1.240,61.20,76.43
104,1,-1.753,-0.558,-1.462,-0.895,-0.517,17,-0.475,34.74,73.82
105,1,1.134,0.532,1.038,0.931,1.235,18,0.249,59.78,85.92
106,1,-1.221,-0.338,-1.520,-0.566,-0.484,19,0.754,31.94,73.02
107,1,-0.083,0.075,0.483,0.496,0.180,16,0.988,59.76,81.65
108,1,-0.759,-0.282,-1.448,-1.679,-0.986,14,2.156,45.45,75.87
109,1,-0.539,0.113,-0.211,0.062,0.495,14,0.466,58.00,83.60
110,1,-0.091,-0.104,-0.314,0.265,-0.309,12,-0.589,43.52,64.04
111,1,-0.071,-0.108,0.229,0.153,-0.514,14,0.145,40.00,69.91
112,1,1.510,1.715,1.059,0.604,0.854,16,0.266,56.58,80.96
113,1,1.213,1.478,0.812,0.496,1.781,18,0.470,73.50,64.02
114,1,-0.997,-1.120,-0.894,-0.311,0.051,18,-0.588,30.81,69.44
115,1,-0.586,0.114,-1.081,0.026,-0.353,14,0.354,37.38,86.60
116,1,1.047,1.258,0.997,0.824,1.527,16,0.314,67.88,82.03
117,1,-1.023,-0.704,-1.904,-1.361,-0.875,13,0.097,23.41,48.55
118,1,1.357,0.891,1.241,0.922,0.821,14,0.261,68.69,69.08
119,1,-2.551,-0.268,-1.127,-0.614,-0.731,19,1.541,33.79,62.83
120,1,0.586,0.850,-0.063,-0.610,0.720,14,0.761,64.17,102.89
121,1,0.094,-0.159,-0.006,0.711,0.567,13,-0.393,53.59,69.71
122,1,1.445,1.135,0.864,0.690,2.195,19,-0.693,68.27,78.92
123,1,-1.029,-0.508,-1.113,-0.772,-0.623,17,1.063,33.98,70.68
124,1,0.288,0.002,-0.876,-0.458,-0.229,16,1.397,67.74,67.40
125,1,0.678,1.669,-1.047,0.494,0.181,20,-0.737,44.76,70.54
126,1,-0.999,-1.053,-1.050,-0.770,-1.110,13,0.249,38.70,62.45
127,1,0.992,-0.978,-0.310,-0.399,0.280,17,0.592,44.88,78.19
128,1,0.804,0.095,-0.620,0.369,0.350,16,1.079,51.59,79.17
129,1,1.507,1.131,0.478,0.859,0.931,19,0.749,61.09,89.05
130,1,1.746,0.134,1.350,1.417,0.243,17,-0.286,67.23,86.52
131,1,-0.859,0.428,0.092,0.730,-0.645,17,0.458,54.17,75.60
132,1,1.635,0.391,1.051,0.847,1.142,13,0.226,49.30,89.86
133,1,-1.600,-1.604,-1.441,-0.775,-0.805,18,0.986,20.75,64.34
134,1,-0.950,-0.567,-1.010,-0.701,-1.231,17,-2.359,26.59,48.67
135,1,0.046,-0.680,-0.707,0.661,-0.120,17,0.232,52.62,74.05
136,1,0.506,0.521,-0.134,0.171,-0.175,19,0.954,66.40,73.38
137,1,-0.975,0.069,-0.032,-0.140,-0.075,12,-0.560,40.11,65.26
138,1,1.026,1.787,1.081,0.835,1.179,20,0.888,63.80,83.43
139,1,0.355,1.247,0.306,1.081,1.306,13,-0.142,55.28,92.54
140,1,1.055,0.696,1.138,0.772,1.107,18,0.899,71.99,84.81
141,1,0.246,-0.835,-1.002,-0.719,-0.125,19,1.660,57.41,51.58
142,1,-0.686,-0.299,-1.010,-0.948,-0.243,20,1.968,36.68,80.20
143,1,-0.123,-0.543,0.703,0.896,0.356,13,0.800,62.32,78.44
144,1,-1.458,-1.275,-1.650,-1.249,-0.821,17,-0.554,37.20,56.09
145,1,-1.823,-0.831,-0.741,-1.210,-1.397,18,1.061,52.44,83.14
146,1,-0.093,-0.268,0.003,0.620,0.591,14,0.397,48.49,67.65
147,1,-0.188,0.785,-0.284,0.718,-0.563,20,1.370,52.63,69.70
148,1,-0.258,0.252,-0.519,-0.178,0.512,12,1.773,51.91,78.35
149,1,-0.502,0.395,0.508,-0.555,-0.470,19,0.231,50.76,76.30
150,1,1.120,1.837,1.615,0.732,1.481,18,0.340,69.63,91.22
151,1,-1.264,-0.222,-0.896,-0.618,-1.300,16,-0.240,50.13,69.25
152,1,0.079,0.442,0.717,-0.155,-0.301,14,1.423,44.28,82.04
153,1,0.198,-0.243,-0.567,0.387,-0.274,16,0.287,67.13,75.96
154,1,-0.004,0.081,-0.387,-0.854,0.326,19,-0.233,42.00,64.66
155,1,-1.024,-0.718,-2.203,-1.483,-0.926,14,-1.011,39.22,50.99
156,1,1.077,0.933,1.527,0.466,2.263,19,-0.712,57.97,101.49
157,1,-0.363,-0.126,-0.713,-0.133,-0.887,14,-1.514,54.63,90.33
158,1,0.260,0.046,0.089,0.045,0.618,17,-0.410,47.35,71.90
159,1,-0.479,-1.771,-0.371,-0.009,-1.361,19,-2.026,42.02,73.83
160,1,1.334,1.207,0.598,1.171,1.546,15,1.613,61.04,89.12
161,1,-0.069,-0.163,-0.736,0.150,0.289,20,-0.065,51.94,89.93
162,1,-0.667,0.089,0.027,0.771,0.668,14,-1.075,36.44,71.04
163,1,-0.299,0.479,-0.941,-0.763,-0.875,19,-1.064,54.91,68.60
164,1,1.366,1.542,1.401,1.226,1.427,16,1.373,69.30,66.29
165,1,-0.108,0.038,0.412,0.888,-0.097,19,-0.078,67.25,69.21
166,1,-1.644,0.167,-2.192,-0.687,-1.510,16,1.440,30.60,63.97
167,1,0.693,1.199,1.129,1.087,1.161,16,0.396,59.60,87.01
168,1,0.585,-0.409,-0.059,0.113,0.284,15,-0.798,58.98,88.13
169,1,-1.498,-1.673,-1.688,-1.128,-1.010,20,0.300,40.29,66.30
170,1,-0.307,-0.293,-1.330,-0.271,-0.767,12,-0.110,36.76,75.45
171,1,0.286,0.796,0.894,1.438,1.399,18,-1.714,67.34,88.74
172,1,-0.201,-0.107,-0.892,0.157,0.343,14,0.033,36.18,61.76
173,1,0.629,1.070,0.943,0.640,0.454,12,0.023,64.75,93.78
174,1,0.362,0.757,1.458,1.959,0.864,17,0.716,65.29,87.10
175,1,1.693,1.191,1.397,1.009,1.166,13,1.026,67.43,86.40
176,1,-1.058,-0.507,-2.162,-1.331,-0.336,19,-0.960,31.50,60.06
177,1,1.131,0.132,1.463,0.390,1.281,17,-1.666,69.94,77.63
178,1,-1.208,-1.270,-1.378,-0.635,-0.757,14,0.083,34.11,70.36
179,1,0.060,-0.890,0.590,-0.038,0.309,20,0.042,51.28,83.09
180,1,1.053,0.971,0.986,1.221,0.686,13,0.678,68.62,73.81
181,1,0.680,0.467,0.523,-0.198,-0.451,12,0.207,45.08,83.96
182,1,0.773,1.294,1.573,1.198,0.648,12,0.572,60.65,85.08
183,1,-0.111,0.610,-0.518,-1.140,0.627,12,2.607,59.87,85.51
184,1,-1.388,-0.718,-1.467,-0.796,-0.651,19,0.987,26.35,70.70
185,1,0.681,-0.057,0.041,0.476,0.089,20,-0.112,47.28,77.86
186,1,-1.646,-1.892,-1.392,-1.193,-1.471,19,0.777,45.47,80.39
187,1,-1.411,-0.972,-1.042,-0.367,-0.364,18,0.760,38.28,61.75
188,1,0.607,-0.586,-0.971,-0.465,0.138,18,0.341,38.95,73.11
189,1,-0.026,-0.132,0.123,-0.325,0.416,19,1.491,55.26,76.92
190,1,-0.330,0.463,-0.120,-0.532,-0.881,17,0.478,54.05,79.90
191,1,1.031,1.396,0.248,0.079,0.742,18,-0.586,59.09,76.51
192,1,1.013,0.674,1.997,1.244,1.151,14,1.001,51.53,98.44
193,1,1.126,0.667,1.251,1.448,1.626,14,0.561,56.70,93.92
194,1,0.003,0.293,0.870,-0.475,0.541,17,0.551,56.13,81.44
195,1,1.071,0.951,0.930,2.047,1.611,13,1.075,66.84,67.55
196,1,0.875,0.067,0.456,-0.040,0.415,15,-0.518,61.57,79.04
197,1,-0.220,-0.811,-0.640,0.142,0.397,15,0.796,31.00,76.07
198,1,0.271,-0.196,0.072,-0.429,-0.384,15,-1.206,45.04,65.49
199,1,1.692,2.171,1.165,0.374,0.695,14,1.485,66.27,102.43
200,1,1.097,1.402,1.146,1.264,1.428,14,-0.974,64.67,91.80
201,1,-0.818,-0.058,-0.268,1.139,-0.148,16,0.584,46.82,66.04
202,1,-0.106,-0.340,-0.352,0.283,-0.341,12,0.080,51.28,80.39
203,1,1.508,1.304,1.457,1.090,0.915,20,0.742,65.60,96.35
204,1,-0.512,-1.081,-1.346,-0.795,-1.391,16,1.255,40.30,62.87
205,1,-0.059,0.379,-0.363,-0.528,-0.073,16,-0.196,52.52,66.27
206,1,1.252,0.722,0.604,1.012,1.209,18,-0.968,61.60,66.96
207,1,1.035,0.088,-0.107,0.314,-0.660,19,0.176,59.09,77.79
208,1,0.422,0.445,0.402,-0.952,-0.436,18,0.166,58.56,65.43
209,1,-1.350,-1.201,-0.922,-0.677,-0.930,20,0.038,44.88,76.72
210,1,1.349,1.228,1.164,1.470,1.348,16,-1.077,63.84,91.35
211,1,-2.054,-0.527,-1.360,-0.491,-0.822,16,0.594,33.84,68.25
212,1,1.173,1.044,1.896,0.515,0.842,19,0.802,71.07,75.18
213,1,1.038,0.779,1.801,1.564,1.500,17,-0.657,49.21,89.43
214,1,1.106,1.293,0.761,0.670,0.240,20,0.479,54.69,74.46
215,1,1.316,0.399,1.149,-0.081,1.602,17,-0.484,67.83,97.86
216,1,0.118,0.145,-0.173,-0.387,0.671,17,0.387,56.60,73.49
217,1,1.361,1.479,0.854,1.015,1.128,14,0.581,78.13,73.48
218,1,-1.025,-1.460,-1.641,-0.992,-0.579,17,-0.111,41.68,62.35
219,1,1.394,0.593,1.214,0.600,1.055,20,1.496,64.97,87.76
220,1,0.978,0.626,1.573,0.833,0.848,16,0.217,60.74,82.97
221,1,-0.586,-0.820,-1.378,-0.587,0.067,17,0.236,24.98,74.75
222,1,-0.364,0.330,0.720,0.382,0.244,20,0.569,52.53,89.87
223,1,-0.586,0.794,0.193,-0.584,-0.037,15,1.071,37.63,59.88
224,1,1.586,1.050,1.271,1.250,1.031,19,3.175,78.95,98.53
225,1,-0.492,-0.117,-0.303,-0.938,0.256,16,-0.751,49.40,76.07
226,1,0.657,-0.202,-0.099,0.116,0.509,13,-0.244,56.46,96.86
227,1,1.520,0.806,0.795,1.350,1.228,18,-0.901,58.35,98.59
228,1,-0.121,0.782,-0.599,-0.810,-0.033,17,-0.089,41.19,70.02
229,1,-0.521,0.264,0.148,0.326,0.182,14,1.984,50.92,69.74
230,1,1.342,0.001,-0.535,-0.655,0.282,14,0.259,47.39,86.18
231,1,1.488,1.859,0.894,0.347,1.446,15,0.138,82.31,87.00
232,1,-0.084,-0.311,0.233,0.431,0.047,17,-0.289,55.13,74.88
233,1,-0.443,0.280,-0.498,0.429,0.002,17,0.020,51.34,79.21
234,1,1.709,1.652,0.983,0.806,0.606,17,0.788,52.57,89.67
235,1,-0.435,-0.764,-0.659,-0.444,-0.375,18,-0.711,57.30,75.70
236,1,1.086,0.191,-0.052,1.553,1.388,19,0.850,53.96,88.37
237,1,1.168,1.145,0.999,1.337,1.068,14,0.218,70.24,93.35
238,1,1.179,1.061,1.118,0.400,1.200,17,1.077,68.93,83.86
239,1,-1.178,-0.763,-1.263,-0.735,-0.264,13,-0.171,43.12,58.75
240,1,0.430,-0.103,-0.382,0.716,0.745,14,0.132,62.16,62.51
241,1,-0.711,0.432,-0.710,0.712,-0.155,18,1.216,32.02,64.49
242,1,1.289,1.195,0.775,1.579,0.852,13,-0.658,70.38,95.25
243,1,-1.387,-0.327,-0.855,-0.535,-0.841,18,0.865,45.97,81.63
244,1,-2.033,-0.927,-1.173,-0.924,-0.804,15,0.355,31.94,47.88
245,1,1.372,1.529,0.856,0.843,1.628,19,-0.086,63.51,92.54
246,1,1.118,0.108,0.834,1.091,0.953,18,-0.428,51.58,73.40
247,1,-1.407,-1.530,-0.263,-1.435,-1.775,13,0.876,32.03,84.04
248,1,-0.884,-0.459,-0.378,-0.087,0.246,15,-0.246,42.49,57.91
249,1,0.402,-0.106,0.415,0.020,0.022,15,-0.281,50.33,77.91
250,1,-0.139,-0.884,0.048,-0.268,0.472,16,0.974,52.90,79.40
251,1,1.247,1.066,1.008,0.230,0.988,16,-0.037,62.70,96.27
252,1,0.419,-0.057,-0.258,-0.101,0.519,13,-0.787,50.16,79.38
253,1,-0.090,0.568,-0.068,-0.937,0.251,12,-0.463,48.36,81.15
254,1,-0.660,-0.627,-0.779,-0.883,-0.764,13,0.600,34.46,51.65
255,1,0.518,-0.096,0.218,0.291,-0.057,16,-0.050,48.11,81.50
256,1,0.816,0.977,0.867,0.211,0.948,18,-0.014,55.30,78.40
257,1,-0.579,0.629,0.348,-0.316,0.981,18,1.748,62.97,71.69
258,1,0.427,1.494,0.836,1.012,0.436,14,0.001,47.98,80.04
259,1,-0.429,0.198,0.238,-0.340,0.388,20,0.386,56.77,77.73
260,1,1.472,0.271,0.679,0.609,2.005,14,-0.379,73.27,79.92
261,1,1.500,0.444,1.659,1.222,1.394,18,-0.046,62.43,85.86
262,1,1.334,0.517,0.982,0.216,1.188,18,0.171,53.31,85.17
263,1,1.429,1.056,0.279,0.192,0.890,13,2.437,54.72,64.65
264,1,-1.495,-1.048,-0.654,-0.084,-0.798,13,0.591,3.17,78.62
265,1,0.169,0.008,-0.103,-0.608,-0.265,18,2.091,60.35,69.16
266,1,1.376,2.156,0.824,0.795,0.813,14,0.169,66.14,79.79
267,1,-0.582,0.087,0.165,-0.468,-0.589,17,0.015,46.22,71.31
268,1,1.030,1.045,0.964,1.203,1.918,15,1.203,56.93,75.43
269,1,1.336,0.953,0.564,-0.013,0.720,13,2.368,46.14,67.79
270,1,-1.029,-1.036,-2.042,-1.601,-1.168,18,-0.818,37.66,71.10
271,1,0.889,0.580,0.761,1.844,1.197,13,-0.736,66.61,94.82
272,1,-0.910,-1.232,-0.917,-2.083,0.318,13,-0.595,51.09,71.56
273,1,1.864,1.706,1.747,0.522,1.067,13,-0.749,74.08,90.32
274,1,-0.238,0.001,-0.063,0.203,-0.063,17,-0.867,62.69,91.51
275,1,1.297,2.190,1.006,1.413,0.822,17,0.508,71.14,87.67
276,1,1.638,0.941,1.454,0.600,1.211,12,-0.554,70.30,92.96
277,1,1.527,1.132,1.620,0.909,0.962,15,-0.287,59.45,65.83
278,1,1.775,1.445,1.279,0.873,0.757,15,0.344,75.13,101.61
279,1,0.593,-0.550,-0.272,0.416,0.320,14,1.116,41.19,65.94
280,1,0.318,-0.051,0.859,-0.462,0.098,17,1.255,60.29,68.48
281,1,-1.704,-1.017,-1.223,-1.244,-0.964,14,0.845,33.50,73.35
282,1,0.616,0.005,0.370,-0.696,-0.283,18,0.489,58.13,98.45
283,1,0.203,0.009,-0.551,0.190,0.114,18,1.698,54.94,71.20
284,1,1.464,0.495,0.807,1.194,1.016,19,0.934,63.60,85.31
285,1,-1.743,-1.443,-1.235,-1.203,-0.462,17,-0.314,57.16,55.06
286,1,0.471,-1.024,0.080,-0.733,-0.067,18,0.222,55.85,60.23
287,1,0.690,0.790,0.882,0.904,1.469,16,0.450,49.26,76.05
288,1,1.777,0.427,1.004,1.971,0.764,16,0.883,66.55,67.28
289,1,-0.016,-0.070,-0.135,-0.647,-0.049,16,1.077,55.87,85.92
290,1,0.440,-0.145,0.550,-0.284,0.468,12,0.227,69.16,71.15
291,1,1.980,1.637,0.354,0.621,0.920,12,0.524,56.22,94.63
292,1,-0.024,0.139,-0.115,0.385,-0.021,17,-1.186,59.55,53.90
293,1,1.566,1.290,2.212,0.741,1.000,14,-0.870,62.07,69.01
294,1,0.549,0.579,0.933,0.872,1.380,19,1.572,59.14,87.60
295,1,0.104,-0.866,-1.917,-0.858,-0.788,18,0.617,44.51,42.06
296,1,-0.143,0.131,0.018,1.285,0.621,20,0.652,56.83,58.57
297,1,0.043,0.421,-0.475,0.505,-0.450,17,0.186,35.54,75.96
298,1,-1.106,-2.300,-1.690,-0.489,0.147,17,0.544,31.96,47.49
299,1,0.091,0.350,-0.647,0.590,-0.858,16,1.025,65.79,53.49
300,1,-1.195,-1.415,-1.745,-1.052,-0.382,20,0.735,22.99,67.18
301,1,1.398,1.825,1.263,1.332,0.953,18,0.011,61.44,99.42
302,1,-1.820,0.184,-1.790,-0.824,-1.559,19,-1.031,28.71,76.60
303,1,-0.178,0.508,-0.846,-0.271,0.373,12,1.450,56.68,72.37
304,1,0.800,0.585,1.095,0.740,1.713,15,2.039,72.29,80.86
305,1,-1.495,-1.446,-0.747,-1.411,-0.229,18,0.985,36.66,48.56
306,1,-0.087,-0.180,0.241,-0.199,0.090,18,-0.816,48.76,76.11
307,1,0.917,0.927,0.371,0.758,1.258,16,-0.732,64.85,67.45
308,1,0.517,0.886,0.985,0.396,1.198,12,0.270,55.40,95.09
309,1,0.827,1.569,1.151,0.879,1.612,16,-0.585,68.09,71.23
310,1,-1.302,-0.066,-1.120,-1.380,-0.955,12,0.545,57.60,77.80
311,1,-1.404,-0.512,-0.500,-1.645,-0.908,16,-1.788,35.64,53.11
312,1,0.652,0.651,0.384,0.015,0.322,18,0.917,54.10,75.39
313,1,-0.330,0.138,-0.460,-0.533,0.125,19,-1.039,48.25,67.90
314,1,0.246,-0.786,-0.457,-0.709,-1.806,16,0.401,50.50,86.38
315,1,-0.509,-0.064,-0.537,-0.109,-0.072,14,-0.091,55.57,84.72
316,1,1.100,0.863,0.841,1.626,1.841,19,-0.128,66.27,95.07
317,1,-1.363,-0.635,-1.626,-1.025,-0.942,17,-0.087,21.52,62.34
318,1,-0.934,-2.105,-1.465,-0.544,-1.537,16,0.857,34.42,53.25
319,1,0.173,0.425,-0.525,0.230,0.994,17,1.270,41.57,80.86
320,1,1.564,1.586,1.012,0.943,1.120,18,-0.005,56.53,108.22
321,1,-1.276,-1.627,-0.557,-0.731,-1.001,12,2.095,29.73,64.21
322,1,0.518,0.409,0.205,0.343,-0.499,14,0.467,53.07,72.30
323,1,0.778,0.563,1.153,0.737,1.648,19,2.431,66.19,73.32
324,1,0.542,0.589,1.612,1.201,1.393,17,-1.759,64.16,62.71
325,1,0.792,-0.730,-0.352,0.210,-0.705,17,-0.426,48.24,72.49
326,1,0.481,1.536,1.295,0.984,1.383,18,0.383,74.47,102.88
327,1,-0.497,-0.328,-0.052,-0.065,0.507,17,-0.163,39.86,71.83
328,1,0.886,0.479,-0.234,-0.026,0.287,18,-0.113,46.25,77.84
329,1,1.379,0.951,0.637,1.317,0.757,13,0.981,56.46,91.80
330,1,1.538,0.568,1.196,0.069,1.287,18,1.196,78.42,74.39
331,1,-2.148,-0.125,-1.041,-1.591,-0.998,19,-0.161,38.85,71.92
332,1,-0.731,-0.832,-1.436,-1.002,-1.466,12,-0.392,30.73,66.72
333,1,0.033,0.798,0.031,0.665,0.748,19,-0.264,63.60,79.80
334,1,0.670,0.265,-0.203,-0.946,0.418,15,0.401,74.42,63.15
335,1,1.195,1.490,0.631,0.826,1.198,16,-0.369,60.75,72.13
336,1,-0.277,-0.078,0.499,-0.041,-0.452,19,0.346,47.28,83.41
337,1,-0.052,-0.307,-0.174,-0.558,-0.324,17,0.749,51.33,69.33
338,1,0.436,0.508,-0.190,0.508,0.255,17,-0.208,63.46,72.85
339,1,1.273,0.792,0.494,1.834,1.421,14,1.755,67.11,97.07
340,1,0.467,0.004,-0.611,-0.265,-0.111,18,-0.343,44.83,74.21
341,1,0.067,0.270,0.294,-0.878,-0.557,16,-0.373,68.14,76.81
342,1,1.057,0.513,0.264,1.048,0.646,15,-0.316,57.19,72.35
343,1,0.905,1.575,1.689,1.322,1.917,15,-0.553,64.58,82.08
